CompanyID	Userid_login	LdapCompanyTypeAttribute
2062	kgalbraith	WTYD,RESD,CSLD
2062	mlinarte	WTYD,RESD,CSLD
2079	blaframboi	WTYD,RESD,CSLD
2079	cferrera	WTYD,RESD,CSLD
2079	dashley6	WTYD,RESD,CSLD
2079	efederico	WTYD,RESD,CSLD
2079	emedina1	WTYD,RESD,CSLD
2079	ggallagher	WTYD,RESD,CSLD
2079	jmariano	WTYD,RESD,CSLD
2079	llopez6	WTYD,RESD,CSLD
2079	mmorse	WTYD,RESD,CSLD
2079	tsulliva12	WTYD,RESD,CSLD
2080	dnordstro1	RESD,CSLD
2080	kchiasson	RESD,CSLD
2080	slegendre1	RESD,CSLD
2082	jsalbedo	WTYD,RESD,CSLD
2083	cmohan	WTYD,RESD,CSLD
2083	jmalkovich	WTYD,RESD,CSLD
2083	kpatel3	WTYD,RESD,CSLD
2083	mchen4	WTYD,RESD,CSLD
2086	kcausby1	WTYD,RESD,CSLD
2086	smoore44	WTYD,RESD,CSLD
2108	dstainer	WTYD,RESD,CSLD
2108	gthompson9	WTYD,RESD,CSLD
2108	jmarcum	WTYD,RESD,CSLD
2108	rorsini	WTYD,RESD,CSLD
2109	dschurr	WTYD,RESD,CSLD
2111	jmoore55	WTYD,RESD,CSLD
2111	mgavin	WTYD,RESD,CSLD
2111	tmarrs	WTYD,RESD,CSLD
2112	klesh	WTYD,RESD,CSLD
2112	rhemker2	WTYD,RESD,CSLD
2113	ahayden	WTYD,RESD,CSLD
2113	dgollner1	WTYD,RESD,CSLD
2113	lmullins3	WTYD,RESD,CSLD
2113	rmorris29	WTYD,RESD,CSLD
2113	trussell4	WTYD,RESD,CSLD
2114	bdamico1	WTYD,RESD,CSLD
2114	jdonoghue	WTYD,RESD,CSLD
2114	jjanszen1	WTYD,RESD,CSLD
2114	jpenningto	WTYD,RESD,CSLD
2114	lmessmer3	WTYD,RESD,CSLD
2114	sbegley	WTYD,RESD,CSLD
2114	thutzel1	WTYD,RESD,CSLD
2114	tirwin	WTYD,RESD,CSLD
2114	wrolfes	WTYD,RESD,CSLD
2118	jachilles3	WTYD,RESD,CSLD
2118	jrussell20	WTYD,RESD,CSLD
2119	bdrew	WTYD,RESD,CSLD
2119	brentz1	WTYD,RESD,CSLD
2119	brichard13	WTYD,RESD,CSLD
2119	dcard	WTYD,RESD,CSLD
2119	jgilley	WTYD,RESD,CSLD
2119	jriley2	WTYD,RESD,CSLD
2119	klooney	WTYD,RESD,CSLD
2119	kreed5	WTYD,RESD,CSLD
2119	mdowling	WTYD,RESD,CSLD
2119	tdavis36	WTYD,RESD,CSLD
2119	tgunnell	WTYD,RESD,CSLD
2119	wkordenbro	WTYD,RESD,CSLD
2125	gharbeck	RESD,CSLD
2125	sharbeck	RESD,CSLD
2130	rthomas20	RESD
2140	bbibb	WTYD,RESD,CSLD
2140	cclark17	WTYD,RESD,CSLD
2140	csutphin2	WTYD,RESD,CSLD
2140	davery	WTYD,RESD,CSLD
2140	dbruce2	WTYD,RESD,CSLD
2140	dfields3	WTYD,RESD,CSLD
2140	ebond	WTYD,RESD,CSLD
2140	mdunn15	WTYD,RESD,CSLD
2140	moisten	WTYD,RESD,CSLD
2140	msherman2	WTYD,RESD,CSLD
2141	gbenefiel2	RESD,CSLD
2142	jrademaker	WTYD,RESD,CSLD
2146	cclements	WTYD,RESD,CSLD
2146	gcoursey	WTYD,RESD,CSLD
2146	gellis3	WTYD,RESD,CSLD
2146	jgansman	WTYD,RESD,CSLD
2147	awawrzynia	WTYD,RESD,CSLD
2147	bvandyke1	WTYD,RESD,CSLD
2147	chill8	WTYD,RESD,CSLD
2147	damerine	WTYD,RESD,CSLD
2147	dchannel	WTYD,RESD,CSLD
2147	dgregory	WTYD,RESD,CSLD
2147	djohnson91	WTYD,RESD,CSLD
2147	jhunt14	WTYD,RESD,CSLD
2147	lhines	WTYD,RESD,CSLD
2147	mbrown1	WTYD,RESD,CSLD
